,Label,Outcome
18984,Other,"clinical effectiveness, tolerance, handiness and lack of interference with clotting functions"
18983,Other,Changes in sleep architecture
18982,Other,"simple, cost effective and a robust alternative to gene expression profiling (GEP)"
18981,Other,oxygenation and ventilation
18965,Other,condensation
18966,Other,long-term benefit
18967,Other,time to first fall
18968,Other,DOX versus PLD
18969,Other,RQLQ (S) domains
18970,Other,overall major response rate
18971,Other,performance in training and competition
18963,Other,7-d food records
18972,Other,sinus rhythm
18974,Other,VO2max
18975,Other,Pinprick anesthesia
18976,Other,Late complication rates
18977,Other,median time to PSA progression
18978,Other,greater improvement
18979,Other,fatigue
18980,Other,completely successful
18973,Other,effectiveness and cost-effectiveness
19079,Other,Costs of initial and follow-up
19080,Other,exception of median ulcer size
19081,Other,operating time
19181,Other,changes in effectiveness
19182,Other,annualised relapse rate
19183,Other,Observations and tests
19184,Other,BMDprox
19185,Other,access to the Internet
19186,Other,high incidence of false-positive
19187,Other,serious adverse events
19188,Other,mean decreases in scores
19189,Other,Mean temperature upon intensive care unit admission
19190,Other,creatinine clearance (Ccr)
19191,Other,on leg press 1RM
19192,Other,Efficacy and tolerability
19193,Other,systemic vascular resistance (SVR)
19194,Other,short sequences of irregular 3-Hz spike-waves
19195,Other,visual analogue scale and patient global change
19180,Other,expenditures
19179,Other,aneuploidy rate
19178,Other,colony-forming units
19177,Other,C-peptide
19161,Other,AUC and Cmax of digoxin
19162,Other,mean TICS score
19163,Other,"bioequivalence assessment (AUClast, AUCinf and Cmax)"
19164,Other,interferon-gamma
19165,Other,median time to progression (TTP)
19166,Other,knowledge and health beliefs about CRC screening
19167,Other,ejection fraction
19196,Other,translucency
19168,Other,plasma concentrations of cortisol and vasopressin
19170,Other,PRAL
19171,Other,resection weight
19172,Other,rate of major and minor postoperative complications
19173,Other,Positive and negative predictive values increased
19174,Other,satisfaction with communication with hospital staff
19175,Other,functional complaints mandibular denture
19176,Other,black
19169,Other,haptic feedback
19160,Other,resident vaccine administration performance and immunization knowledge
19197,Other,imparting of knowledge
19199,Other,colorectal
19220,Other,Pre-Eclampsia of Pregnancy
19221,Other,Regression of left ventricular hypertrophy
19222,Other,radioimmunoassay (RIA)
19223,Other,median TTP
19224,Other,mobility
19225,Other,effect on coronary heart disease ( fatal and non-fatal myocardial infarction
19226,Other,Helicobacter pylori eradication
19227,Other,MPO and IL-8
19228,Other,cumulative duration
19229,Other,histologic type ( serous=S; clear cell=CC; endometrioid=E )
19230,Other,impedance cardiography
19231,Other,One-year and 4-year overall survival rates
19232,Other,Clinician 's Interview-Based Impression of Change-Plus version
19233,Other,time difference in scaling
19234,Other,EHP-30 and MYMOP scores
19219,Other,half-lives
19218,Other,"State-Trait Anxiety Inventory, QoL"
19217,Other,impact
19216,Other,absolute bioavailability
19200,Other,total operating time
19201,Other,No statistically significant difference
19202,Other,CPRS-R-DSM-IV-ADHD subscale
19203,Other,constriction of the isopters
19204,Other,"lipid efficacy, safety"
19205,Other,safety and efficacy
19206,Other,Occurrence and needed days for healing of minor RAS
19198,Other,toxicity
19207,Other,effective ventilation
19209,Other,"Nonunions, time to fracture healing, and rate of malunions"
19210,Other,Clinical effects
19211,Other,concreteness effects in memory
19212,Other,QOL assessment
19213,Other,serum myeloma protein value
19214,Other,mean counts
19215,Other,patency time
19208,Other,hospitalization
19159,Other,ratings of videotapes
19158,Other,American Shoulder and Elbow Surgeons (ASES) shoulder assessment form
19157,Other,ocular pH difference
19102,Other,intraoperative bleeding
19103,Other,"Intraoperative bleeding, operative time, postoperative pain, complication rates, and return to normal diet"
19104,Other,"anxiety, depression, and disability measures"
19105,Other,slowest stone capture rate
19106,Other,number of intramuscular analgesic injections
19107,Other,cumulative accuracy
19108,Other,negative predictive value
19109,Other,laboratory tests
19110,Other,Western Ontario and McMaster Universities (WOMAC) Osteoarthritis Index
19111,Other,aspergillosis
19112,Other,social behaviour
19113,Other,"Regional wall motion score index (WMSI), contrast score index (CSI), endocardial length of wall motion abnormality (WML) and contrast defect (CDL), end-diastolic and end-systolic left ventricular (LV) volumes, and ejection fraction"
19114,Other,concentration of oxyhemoglobin and deoxyhemoglobin
19115,Other,Lymphocele
19116,Other,parent measures ( CGI
19101,Other,Transfer factor of the lung for carbon monoxide (TLCO)
19100,Other,together with patients ' general well-being
19099,Other,parenteral nutrition
19098,Other,pacemaker implants
19082,Other,Histologic distribution
19083,Other,numeric analog scale
19084,Other,mid-patella girth
19085,Other,Median overall survival (OS)
19086,Other,loss of consciousness
19087,Other,evaluate the cost
19088,Other,time from first progression to death (TFPTD)
19117,Other,ED documentation
19089,Other,global assessment
19091,Other,plasma secretin
19092,Other,ARU ratio relative to baseline in the VerifyNow ASA assay
19093,Other,local failure
19094,Other,"overall QOL changes, response rate or progression free or overall-survival"
19095,Other,fewer ( P = 0.06 ) worm eggs per fecal sample
19096,Other,average daily energy expenditure
19097,Other,percentage returning to school
19090,Other,craving scores
19118,Other,rate of complete remission
19119,Other,symptoms of the inflammatory state
19120,Other,mean total operating times
19141,Other,number of ranibizumab injections required
19142,Other,incidence of CMV infection
19143,Other,Nicotine challenge
19144,Other,semen analysis system
19145,Other,baseline
19146,Other,higher knowledge levels
19147,Other,hospitalization day
19140,Other,chest-tube blood drainage indices
19148,Other,additional imaging recommendations
19150,Other,safety and feasibility of treatment
19151,Other,increase in IGF-I
19152,Other,visual analogue scale (VAS) at rest
19153,Other,tolerability
19154,Other,frequency of dose reductions for toxic side-effects
19155,Other,1 cm or more
19156,Other,TSB values
19149,Other,emotion regulation
19236,Other,incidence rate of complications
19139,Other,less suitable for clinical work
19137,Other,soleus
19121,Other,adaptive/social behavior scores
19122,Other,mean index score of EQ-5D and VAS
19123,Other,Eradication of H. pylori in the omeprazole-amoxycillin group
19124,Other,effectivity
19125,Other,total time for catheter placement
19126,Other,effective and safer
19127,Other,morbidity
19138,Other,wheal disappearance
19128,Other,implant indications and baseline antiarrhythmic drug use
19130,Other,overall differences
19131,Other,eicosapentaenoic acid (EPA)
19132,Other,actuarial survival curves
19133,Other,target motion only
19134,Other,mean arterial pressure (MAP)
19135,Other,UTC procedure
19136,Other,per-sample mean intensity score
19129,Other,abnormal TSH response to TRH
15794,Other,management of intrapartum-related neonatal hypoxia
15793,Other,allogeneic product transfusion index
15792,Other,values of translucency
12450,Other,total nocturnal secretion of TSH
12451,Other,wall area
12452,Other,TXB2 was measured in serum
12453,Other,shear bond values of either metal or ceramic brackets
12454,Other,HOMA-index
12455,Other,Measures of adherence
12456,Other,non-recurrence rates
12457,Other,net change in body mass
12458,Other,mitral regurgitation in CHF
12459,Other,cardiac safety profile
12460,Other,WHOQOL
12461,Other,number of preemptively treated children
12462,Other,Exposure to infective third-stage larvae
12463,Other,plasma cyclic AMP
12464,Other,emotional reactivity
12449,Other,FTI measurements
12448,Other,rate of clinical failure -- defined
12447,Other,the State Anxiety Inventory (SAI)
12446,Other,SU
12430,Other,responders
12431,Other,clinical pathology measurements
12432,Other,cardiovascular complications
12433,Other,"stereotypic behavior, upset stomach, sleep-related difficulties, and emotional lability"
12434,Other,Efficacy indexes
12435,Other,"tear and saliva quantitation, 24 hour electrocardiogram (ECG), exercise testing and programmed ventricular stimulation"
12436,Other,"DNA damage, insulin-like growth factor-I (IGF-I) and histone deacetylase (HDAC). Ex vivo protection from H (2) O (2) -induced DNA damage and endogenous DNA damage were evaluated"
12465,Other,high-sensitivity C-reactive protein
12437,Other,operation duration
12439,Other,intestinal expression (120-124%) of genes
12440,Other,genetic testing
12441,Other,Stool frequency
12442,Other,change in severity
12443,Other,Total sleep duration
12444,Other,remission rates
12445,Other,Analgesia requirements
12438,Other,Oral Mucositis Assessment Scale score
12429,Other,treatment efficacy
12466,Other,gastrointestinal stromal tumors
12468,Other,unchanged
12489,Other,"cycle ergometry, and various questionnaires"
12490,Other,Roland-Morris Disability Questionnaire ( RMDQ
12491,Other,economic evaluation
12492,Other,well-being
12493,Other,recommend guideline-consistent care
12494,Other,"six-minute walking test, the New York Heart Association (NYHA) class, a functional lifescale (FLS) questionnaire and the cardiothoracic ratio (CTR) -at study entry and at the end of the maintenance phase"
12495,Other,9.4% of patients correctly treated
12496,Other,bleeding time
12497,Other,Autism Behavior Checklist (ABC)
12498,Other,subscapular skinfold thickness
12499,Other,release of a trap door mechanism causing inversion
12500,Other,population selection
12501,Other,psychomotor and mental impairment
12502,Other,speed and extension in the evolutional process
12503,Other,diagnostic performance
12488,Other,P3s
12487,Other,analysis of brachial artery flow-mediated vasodilatation and 24-hour ambulatory blood pressure monitoring
12486,Other,tolerance indices
12485,Other,Plasma clonidine concentration data
12469,Other,risks of total and aggressive prostate cancer
12470,Other,reduction of the concentration of anesthetics detectable in the operating room
12471,Other,duration in the home
12472,Other,Abrams-Griffiths classification
12473,Other,critical lures
12474,Other,preventive effect
12475,Other,stay in the OR
12467,Other,lipid and inflammatory markers
12476,Other,improving gait
12478,Other,qualified success rate
12479,Other,failure-free survival (FFS)
12480,Other,Subgingival bacterial samples
12481,Other,MMSE
12482,Other,GMTs
12483,Other,renal safety
12484,Other,recall of false details
12477,Other,Social Responsiveness Scale-measured communication
12504,Other,mammographic density
12428,Other,Aberrant Behavior Checklist-Community (ABC-C) Rating Scale
12426,Other,"VE, VT, TI, inspiratory duty cycle (TI/TTOT), VCO2 and VO2, and a lower fR"
12372,Other,postoperative morbidity
12373,Other,ratings of autism and anger
12374,Other,prolonging the duration of the benefit
12375,Other,adverse-event profile
